-0017-01-31	-0017-01-01
-0017-03-01	-0017-02-01
-0017-03-31	-0017-03-01
-0017-04-29	-0017-04-01
-0017-05-29	-0017-05-01
-0017-06-28	-0017-06-01
-0017-07-27	-0017-07-01
-0017-08-26	-0017-08-01
-0017-09-24	-0017-09-01
-0017-10-24	-0017-09'-01
-0017-11-22	-0017-10-01
-0017-12-22	-0017-11-01
-0018-01-12	-0019-12-01
-0018-02-11	-0018-01-01
-0018-03-12	-0018-02-01
-0018-04-11	-0018-03-01
-0018-05-10	-0018-04-01
-0018-06-09	-0018-05-01
-0018-07-08	-0018-06-01
-0018-08-07	-0018-07-01
-0018-09-05	-0018-08-01
-0018-10-05	-0018-09-01
-0018-11-03	-0018-10-01
-0018-12-03	-0018-11-01
-0019-01-23	-0020-12'-01
-0019-02-21	-0019-01-01
-0019-03-23	-0019-02-01
-0019-04-21	-0019-03-01
-0019-05-21	-0019-04-01
-0019-06-19	-0019-05-01
-0019-07-19	-0019-06-01
-0019-08-17	-0019-07-01
-0019-09-16	-0019-08-01
-0019-10-15	-0019-09-01
-0019-11-14	-0019-10-01
-0019-12-13	-0019-11-01
-0020-01-05	-0021-12-01
-0020-02-03	-0020-01-01
-0020-03-04	-0020-02-01
-0020-04-02	-0020-03-01
-0020-05-02	-0020-04-01
-0020-05-31	-0020-05-01
-0020-06-30	-0020-06-01
-0020-07-29	-0020-07-01
-0020-08-28	-0020-08-01
-0020-09-26	-0020-09-01
-0020-10-26	-0020-10-01
-0020-11-25	-0020-11-01
-0020-12-24	-0020-12-01
-0021-01-15	-0022-12-01
-0021-02-14	-0021-01-01
-0021-03-15	-0021-02-01
-0021-04-14	-0021-03-01
-0021-05-13	-0021-04-01
-0021-06-12	-0021-05-01
-0021-07-12	-0021-06-01
-0021-08-10	-0021-07-01
-0021-09-09	-0021-08-01
-0021-10-08	-0021-09-01
-0021-11-07	-0021-10-01
-0021-12-06	-0021-11-01
-0022-01-26	-0022-01-01
-0022-02-24	-0022-02-01
-0022-03-26	-0022-03-01
-0022-04-25	-0022-03'-01
-0022-05-24	-0022-04-01
-0022-06-23	-0022-05-01
-0022-07-22	-0022-06-01
-0022-08-21	-0022-07-01
-0022-09-19	-0022-08-01
-0022-10-19	-0022-09-01
-0022-11-17	-0022-10-01
-0022-12-17	-0022-11-01
-0023-01-07	-0024-12-01
-0023-02-06	-0023-01-01
-0023-03-07	-0023-02-01
-0023-04-06	-0023-03-01
-0023-05-05	-0023-04-01
-0023-06-04	-0023-05-01
-0023-07-03	-0023-06-01
-0023-08-02	-0023-07-01
-0023-08-31	-0023-08-01
-0023-09-30	-0023-09-01
-0023-10-29	-0023-10-01
-0023-11-28	-0023-11-01
-0023-12-27	-0023-12-01
-0024-01-19	-0025-12-01
-0024-02-17	-0024-01-01
-0024-03-18	-0024-02-01
-0024-04-16	-0024-03-01
-0024-05-16	-0024-04-01
-0024-06-14	-0024-05-01
-0024-07-14	-0024-06-01
-0024-08-12	-0024-07-01
-0024-09-11	-0024-08-01
-0024-10-10	-0024-09-01
-0024-11-09	-0024-10-01
-0024-12-09	-0024-11-01
-0025-01-29	-0025-01-01
-0025-02-28	-0025-02-01
-0025-03-29	-0025-03-01
-0025-04-28	-0025-04-01
-0025-05-27	-0025-05-01
-0025-06-26	-0025-06-01
-0025-07-26	-0025-06'-01
-0025-08-24	-0025-07-01
-0025-09-23	-0025-08-01
-0025-10-22	-0025-09-01
-0025-11-21	-0025-10-01
-0025-12-20	-0025-11-01
-0026-01-10	-0027-12-01
-0026-02-09	-0026-01-01
-0026-03-10	-0026-02-01
-0026-04-09	-0026-03-01
-0026-05-09	-0026-04-01
-0026-06-07	-0026-05-01
-0026-07-07	-0026-06-01
-0026-08-05	-0026-07-01
-0026-09-04	-0026-08-01
-0026-10-03	-0026-09-01
-0026-11-02	-0026-10-01
-0026-12-01	-0026-11-01
-0026-12-31	-0026-12-01
-0027-01-21	-0028-12-01
-0027-02-20	-0027-01-01
-0027-03-21	-0027-02-01
-0027-04-20	-0027-03-01
-0027-05-19	-0027-04-01
-0027-06-18	-0027-05-01
-0027-07-17	-0027-06-01
-0027-08-16	-0027-07-01
-0027-09-14	-0027-08-01
-0027-10-14	-0027-09-01
-0027-11-12	-0027-10-01
-0027-12-12	-0027-11-01
