乾貞/荊南（南平） 乾貞(己丑)
天成/荊南（南平） 天成(己丑)
長興/荊南（南平） 長興(庚寅)
應順/荊南（南平） 應順(甲午)
清泰/荊南（南平） 清泰(甲午)
開運/荊南（南平） 開運(甲辰)
乾祐/荊南（南平） 乾祐(戊申)
乾祐/荊南（南平） 乾祐(戊申)
廣順/荊南（南平） 廣順(辛亥)
顯德/荊南（南平） 顯德(甲寅)
建隆/荊南（南平） 建隆(庚申)
建隆/荊南（南平） 建隆(壬戌)
乾祐/北漢 乾祐(辛亥)
乾祐/北漢 乾祐(甲寅)
廣運/北漢 廣運(甲戌)
建隆/北宋 建隆(庚申)
乾德/北宋 乾德(癸亥)
開寶/北宋 開寶(戊辰)
太平興國/北宋 太平興國(丙子)
乾興/北宋 乾興(壬戌)
乾亨/遼 乾亨(己卯)
景福/遼 景福(辛未)
保大/遼 保大(辛丑)
紹興/西遼 紹興(辛未)
天禧/西遼 天禧(戊戌)
開運/西夏 開運(甲戌)
廣運/西夏 廣運(西夏)
乾道/西夏 乾道(丁未)
大安/西夏 大安(乙卯)
永安/西夏 永安(戊寅)
大慶/西夏/庚申 大慶(庚申)
乾祐/西夏 乾祐(庚寅)
皇建/西夏 皇建(庚午)
寶慶/西夏 寶慶(西夏)
天輔/金朝 天輔(丁酉)
天會/金朝 天會(癸卯)
大定/金朝 大定(辛巳)
天定/金朝 天定(金朝)
大安/金朝 大安(己巳)
貞祐/金朝 貞祐(癸酉)
元光/金朝 元光(壬午)
天興/金朝 天興(壬辰)
大德/元朝 大德(丁酉)
至治/元朝 至治(辛酉)
至元/元朝/乙亥 至元(乙亥)
天順/明朝 天順(丁丑)
天啟/明朝 天啟(辛酉)
龍興/misc/乙酉 龍興(乙酉)
建始/misc 建始(辛酉)
神鳳/misc 神鳳(癸亥)
建康/misc 建康(己卯)
鳳凰/misc 鳳凰(庚午)
鳳凰/misc 鳳凰(丙戌)
龍興/misc/丁酉 龍興(丁酉)
建昌/misc 建昌(壬子)
元光/misc 元光(癸巳)
建始/misc 建始(丁酉)
延平/misc 延平(丁酉)
青龍/misc 青龍(戊戌)
泰始/misc 泰始(壬申)
建義/misc 建義(丙子)
太初/misc 太初(癸巳)
建平/misc 建平(甲午)
永光/misc 永光(乙未)
興平/misc 興平(丙寅)
建義/misc 建義(庚辰)
永漢/misc 永漢(壬戌)
太始/misc 太始(辛未)
天啟/misc 天啟(戊寅)
建平/misc 建平(乙卯)
正始/misc 正始(樊素安)
建明/misc 建明(丙戌)
聖明/misc 聖明(丙戌)
建平/misc 建平(戊子)
天啟/misc 天啟(乙巳)
真王/misc/乙巳 真王(乙巳)
廣安/misc 廣安(丙午)
天統/misc/戊申 天統(戊申)
武平/misc 武平(戊戌)
白雀/misc 白雀(白雀期)
五鳳/misc 五鳳(戊寅)
永平/misc 永平(丁丑)
天興/misc 天興(丁丑)
永隆/misc 永隆(戊寅)
天壽/misc/戊寅 天壽(戊寅)
天壽/misc 天壽(濮王)
始興/misc/戊寅 始興(戊寅)
開明/misc 開明(己卯)
延康/misc 延康(己卯)
明政/misc 明政(己卯)
乾德/misc 乾德(輔公祏)
載初/misc 載初(丁酉)
天成/misc 天成(丁酉)
應天/misc 應天(己亥)
黃龍/misc 黃龍(辛丑)
應天/misc 應天(癸亥)
武成/misc 武成(甲子)
順天/misc/乙卯 順天(乙卯)
順德/misc 順德(段思曠)
興正/misc 興正(高觀音隆)
應天/misc 應天(辛未)
永樂/misc 永樂(壬寅)
大曆/misc 大曆(儂智高)
隆興/misc 隆興(趙諗)
永樂/misc/庚子 永樂(庚子)
羅平/misc/辛酉 羅平(辛酉)
乾貞/misc/丙申 乾貞(丙申)
羅平/misc/己亥 羅平(己亥)
重德/misc 重德(己丑)
龍興/misc 龍興(李子揚)
天定/misc 天定(徐真一)
天復/misc 天復(癸卯)
天興/misc 天興(丁卯)
天統/misc 天統(完顏允文)
元統/misc 元統(癸酉)
天賜/misc 天賜(甲戌)
天順/misc 天順(甲戌)
順天/misc/丙子 順天(丙子)
天祐/misc 天祐(乞奴)
延康/misc 延康(癸未)
祥興/misc 祥興(癸未)
安定/misc 安定(己丑)
治平/misc 治平(辛卯)
天啟/misc 天啟(戊戌)
天定/misc 天定(己亥)
天祐/misc 天祐(甲午)
大定/misc/辛丑 大定(辛丑)
大定/misc/辛丑/1361 大定(陳友諒)
天統/misc/癸卯 天統(癸卯)
天定/misc 天定(丙寅)
龍鳳/misc/丁丑 龍鳳(丁丑)
泰定/misc 泰定(戊辰)
天順/misc 天順(丙子)
順德/misc 順德(己卯)
大順/misc 大順(段鋹)
龍飛/misc 龍飛(張璉)
洪武/misc 洪武(己未)
永興/misc 永興(戊辰)
永昌/misc 永昌(甲申)
大順/misc 大順(甲申)
天定/misc 天定(甲申)
永昌/misc 永昌(甲申)
中興/misc 中興(丁亥)
隆武/misc 隆武(丁亥)
天順/misc 天順(辛丑)
大慶/misc 大慶(乙巳)
廣德/misc 廣德(癸丑)
元興/misc 元興(朱六非)
永興/misc 永興(戊子)
順天/misc/丁未 順天(丁未)
順天/misc/庚申 順天(庚申)
天運/misc/丙午 天運(丙午)
天運/misc/乙卯 天運(乙卯)
天運/misc/癸丑 天運(癸丑)
建興/成漢 建興(甲子)
上元/唐朝/庚子 上元(庚子)
