## <https://www.sljfaq.org/afaq/era-list.html>
Genki 元亀 げんき
Tenshō 天正 てんしょう
Bunroku 文禄 ぶんろく
Keichō 慶長 けいちょう
Genna 元和 げんな
Kan'ei 寛永 かんえい
Shōhō 正保 しょうほう
Keian 慶安 けいあん
Jōō 承応 じょうおう
Meireki 明暦 めいれき
Manji 万治 まんじ
Kambun 寛文 かんぶん
Empō 延宝 えんぽう
Tenna 天和 てんな
Jōkyō 貞享 じょうきょう
Genroku 元禄 げんろく
Hōei 宝永 ほうえい
Shōtoku 正徳 しょうとく
Kyōhō 享保 きょうほう
Gembun 元文 げんぶん
Kampō 寛保 かんぽう
Enkyō 延享 えんきょう
Kan'en 寛延 かんえん
Hōreki 宝暦 ほうれき
Meiwa 明和 めいわ
An'ei 安永 あんえい
Temmei 天明 てんめい
Kansei 寛政 かんせい
Kyōwa 享和 きょうわ
Bunka 文化 ぶんか
Bunsei 文政 ぶんせい
Tempō 天保 てんぽう
Kōka 弘化 こうか
Kaei 嘉永 かえい
Ansei 安政 あんせい
Man'ei 万延 まんえい
## ^ 誤りか
Bunkyū 文久 ぶんきゅう
Genji 元治 げんじ
Keiō 慶応 けいおう
Meiji 明治 めいじ
Taishō 大正 たいしょう
Shōwa 昭和 しょうわ
Heisei 平成 へいせい
Reiwa 令和 れいわ
