# y~1917 神元皇帝
# + tag 2166 #東魏
# - tag 2241 #曹弐竜
# - tag 2303 #中部拓跋部
# <https://data.suikawiki.org/tag/1922/graph?sequence=1917%2B2166-2241-2303>
# y~1365 has multiple nexts: 493,1892
# g:0424-02-17+0 y~1135 firstday
mjd:-524031 始光
# g:0428-03-03+0 y~856 firstday
mjd:-522555 神䴥
# g:0432-02-18+0 y~278 firstday
mjd:-521108 延和
# g:0435-03-10+0 y~222 firstday
mjd:-519992 太延
# g:0440-08-05+0 y~1686 firstday
mjd:-518017 太平真君
# g:0451-07-24+0 y~122 firstday
mjd:-514012 正平(辛卯)
# g:0452-03-12+0 y~902 firstday
mjd:-513780 承平(壬辰)
# g:0452-11-01+0 y~122 firstday
mjd:-513546 正平(辛卯)
# g:0452-11-01+0 y~449 firstday
mjd:-513546 興安
# g:0454-08-16+0 y~1206 firstday
mjd:-512893 興光
# g:0455-07-03+0 y~646 firstday
mjd:-512572 太安(乙未)
# g:0460-02-09+0 y~596 firstday
mjd:-510890 和平(庚子)
# g:0466-02-02+0 y~1276 firstday
mjd:-508705 天安(丙午)
# g:0467-10-14+0 y~1537 firstday
mjd:-508086 皇興
# g:0471-09-21+0 y~1589 firstday
mjd:-506648 延興(辛亥)
# g:0476-07-22+0 y~61 firstday
mjd:-504882 承明
# g:0477-01-31+0 y~1355 firstday
mjd:-504689 太和(丁巳)
# g:0500-02-20+0 y~840 firstday
mjd:-496269 景明
# g:0504-02-21+0 y~182 firstday
mjd:-494808 正始(甲申)
# g:0508-09-28+0 y~67 firstday
mjd:-493127 永平(戊子)
# g:0512-05-28+0 y~1204 firstday
mjd:-491789 延昌
# g:0516-02-20+0 y~768 firstday
mjd:-490426 熙平
# g:0518-03-22+0 y~1190 firstday
mjd:-489665 神龜(戊戌)
# g:0520-08-20+0 y~515 firstday
mjd:-488783 正光
# g:0525-07-17+0 y~999 firstday
mjd:-486991 孝昌
# g:0528-02-15+0 y~494 firstday
mjd:-486048 武泰
# g:0528-05-20+0 y~1237 firstday
mjd:-485953 建義(戊申)
# g:0528-10-21+0 y~850 firstday
mjd:-485799 永安(戊申)
# g:0531-01-28+1 y~488 wartime
