# y~606 建始(辛酉)
# + tag 2562 #前涼
# - tag 2577 #李儼
# - tag 2439 #司馬穎
# <https://data.suikawiki.org/tag/1922/graph?sequence=606%2B2562-2577-2439>
mjd:-425282 延載
# g:0695-02-21+0 y~1291 firstday
mjd:-425046 証聖
# g:0695-11-14+0 y~489 firstday
mjd:-424780 天冊萬歲
# g:0696-01-23+0 y~589 firstday
mjd:-424710 萬歲登封
# g:0696-05-10+0 y~1016 firstday
mjd:-424602 萬歲通天
# g:0697-10-23+0 y~775 firstday
mjd:-424071 神功
# g:0698-03-20+0 y~906 firstday
mjd:-423923 聖曆
# g:0700-05-31+0 y~290 firstday
mjd:-423121 久視
# g:0701-03-17+0 y~1154 firstday
mjd:-422831 大足
# g:0701-12-07+0 y~550 firstday
mjd:-422566 長安
# g:0705-03-03+0 y~285 firstday
mjd:-421384 神龍
# g:0707-10-09+0 y~1610 firstday
mjd:-420434 景龍
# g:0710-07-09+0 y~987 firstday
mjd:-419430 唐隆
# g:0710-08-23+0 y~1691 firstday
mjd:-419385 景雲
# g:0712-03-05+0 y~746 firstday
mjd:-418825 太極
# g:0712-06-15+0 y~273 firstday
mjd:-418723 延和(壬子)
# g:0712-09-16+0 y~592 firstday
mjd:-418630 先天
# g:0713-12-26+0 y~1518 firstday
mjd:-418164 開元
# g:0742-02-14+0 y~810 firstday
mjd:-407887 天寶
# g:0756-08-16+0 y~1039 firstday
mjd:-402590 至德(丙申)
# g:0758-03-22+0 y~579 firstday
mjd:-402007 乾元(戊戌)
# g:0760-06-11+0 y~1666 firstday
mjd:-401195 上元(庚子)
# g:0761-08-28+0 y~1846 commenced
mjd:-400752 肅宗
# g:0762-05-18+0 y~1599 firstday
mjd:-400489 寶應
# g:0763-08-28+0 y~175 firstday
mjd:-400022 廣德
# g:0765-01-30+0 y~835 firstday
mjd:-399501 永泰(乙巳)
# g:0766-12-22+0 y~769 firstday
mjd:-398810 大曆
# g:0780-02-15+0 y~322 firstday
mjd:-394007 建中
# g:0784-01-31+0 y~1715 firstday
mjd:-392561 興元
# g:0785-02-18+0 y~1570 firstday
mjd:-392177 貞元(乙丑)
# g:0805-09-05+0 y~476 firstday
mjd:-384673 永貞
# g:0806-01-29+0 y~181 firstday
mjd:-384527 元和(丙戌)
# g:0820-03-26+0 y~1383 firstday
mjd:-379357 永新
# g:0821-02-13+0 y~1118 firstday
mjd:-379033 長慶
# g:0825-02-02+0 y~822 firstday
mjd:-377583 寶曆(乙巳)
# g:0827-03-18+0 y~553 firstday
mjd:-376809 大和
# g:0836-01-26+0 y~94 firstday
mjd:-373573 開成
# g:0841-02-28+0 y~616 firstday
mjd:-371713 會昌
# g:0847-02-04+0 y~1065 firstday
mjd:-369546 大中
# g:0860-11-21+0 y~939 firstday
mjd:-364507 咸通
# g:0874-12-21+0 y~1366 firstday
mjd:-359364 乾符
# g:0880-02-18+0 y~398 firstday
mjd:-357479 廣明
# g:0881-08-13+0 y~421 firstday
mjd:-356937 中和
# g:0885-04-06+0 y~1700 firstday
mjd:-355605 光啟
# g:0888-03-21+0 y~1675 firstday
mjd:-354525 文德(戊申)
# g:0889-02-08+0 y~32 firstday
mjd:-354201 龍紀
# g:0890-01-29+0 y~521 firstday
mjd:-353846 大順
# g:0892-02-06+0 y~39 firstday
mjd:-353108 景福
# g:0894-02-14+0 y~289 firstday
mjd:-352369 乾寧
