# y~756 神武天皇
# + tag 1066 #日本南朝
# <https://data.suikawiki.org/tag/1003/graph?sequence=756%2B1066>
mjd:-317458 永祚
# g:0990-12-01+0 y~1597 firstday
mjd:-317016 正暦
# g:0995-03-30+0 y~100 firstday
mjd:-315436 長徳
# g:0999-02-06+0 y~1345 firstday
mjd:-314027 長保
# g:1004-08-14+0 y~1602 firstday
mjd:-312012 寛弘
# g:1013-02-14+0 y~1640 firstday
mjd:-308906 長和
# g:1017-05-27+0 y~1011 firstday
mjd:-307343 寛仁
# g:1021-03-23+0 y~1584 firstday
mjd:-305947 治安
# g:1024-08-25+0 y~189 firstday
mjd:-304696 万寿
# g:1028-08-24+0 y~1342 firstday
mjd:-303236 長元
# g:1037-05-15+0 y~803 firstday
mjd:-300050 長暦
# g:1040-12-22+0 y~558 firstday
mjd:-298733 長久
# g:1044-12-22+0 y~577 firstday
mjd:-297272 寛徳
# g:1046-05-28+0 y~305 firstday
mjd:-296750 永承
# g:1053-02-08+0 y~640 firstday
mjd:-294302 天喜
# g:1058-09-25+0 y~333 firstday
mjd:-292247 康平
# g:1065-09-10+0 y~111 firstday
mjd:-289705 治暦
# g:1069-05-12+0 y~1286 firstday
mjd:-288365 延久
# g:1074-09-22+0 y~788 firstday
mjd:-286406 承保
# g:1077-12-11+0 y~1022 firstday
mjd:-285230 承暦
# g:1081-03-28+0 y~367 firstday
mjd:-284027 永保
# g:1084-03-21+0 y~704 firstday
mjd:-282938 応徳
# g:1087-05-17+0 y~1326 firstday
mjd:-281786 寛治
# g:1095-01-29+0 y~236 firstday
mjd:-278972 嘉保
# g:1097-01-09+0 y~342 firstday
mjd:-278261 永長
# g:1098-01-02+0 y~593 firstday
mjd:-277903 承徳
# g:1099-09-21+0 y~172 firstday
mjd:-277276 康和
# g:1104-03-15+0 y~1603 firstday
mjd:-275640 長治
# g:1106-05-20+0 y~1094 firstday
mjd:-274844 嘉承
# g:1108-09-16+0 y~1697 firstday
mjd:-273994 天仁
# g:1110-08-07+0 y~1533 firstday
mjd:-273304 天永
# g:1113-09-01+0 y~397 firstday
mjd:-272183 永久
# g:1118-05-02+0 y~1080 firstday
mjd:-270479 元永
# g:1120-05-16+0 y~1521 firstday
mjd:-269734 保安
# g:1124-05-25+0 y~1160 firstday
mjd:-268264 天治
# g:1126-02-22+0 y~79 firstday
mjd:-267626 大治
# g:1131-03-07+0 y~271 firstday
mjd:-265787 天承
# g:1132-09-28+0 y~1444 firstday
mjd:-265216 長承
# g:1135-06-17+0 y~425 firstday
mjd:-264224 保延
# g:1141-08-20+0 y~414 firstday
mjd:-261968 永治
# g:1142-06-01+0 y~1186 firstday
mjd:-261683 康治
# g:1144-04-04+0 y~1171 firstday
mjd:-261010 天養
# g:1145-08-19+0 y~858 firstday
mjd:-260508 久安
# g:1151-02-21+0 y~1194 firstday
mjd:-258496 仁平
# g:1154-12-11+0 y~370 firstday
mjd:-257107 久寿
# g:1156-05-25+0 y~237 firstday
mjd:-256576 保元
# g:1159-05-16+0 y~257 firstday
mjd:-255490 平治
# g:1160-02-25+0 y~381 firstday
mjd:-255205 永暦
# g:1161-10-01+0 y~819 firstday
mjd:-254621 応保
# g:1163-05-11+0 y~391 firstday
mjd:-254034 長寛
# g:1165-07-21+0 y~842 firstday
mjd:-253232 永万
# g:1166-09-30+0 y~1233 firstday
mjd:-252796 仁安
# g:1169-05-13+0 y~1534 firstday
mjd:-251840 嘉応
# g:1171-06-03+0 y~871 firstday
mjd:-251089 承安
# g:1175-08-23+0 y~429 firstday
mjd:-249547 安元
# g:1177-09-05+0 y~186 firstday
mjd:-248803 治承
# g:1181-09-01+0 y~145 firstday
mjd:-247346 養和
# g:1182-07-06+0 y~434 firstday
mjd:-247038 寿永
# g:1184-06-03+0 y~1357 firstday
mjd:-246340 元暦
# g:1185-09-16+0 y~695 firstday
mjd:-245870 文治
# g:1190-05-23+0 y~959 firstday
mjd:-244160 建久
# g:1199-05-30+0 y~1279 firstday
mjd:-240866 正治
# g:1201-03-26+0 y~933 firstday
mjd:-240200 建仁
# g:1204-03-30+0 y~1259 firstday
mjd:-239100 元久
# g:1206-06-12+0 y~557 firstday
mjd:-238296 建永
# g:1207-11-23+0 y~1648 firstday
mjd:-237767 承元
# g:1211-04-30+0 y~599 firstday
mjd:-236513 建暦
# g:1214-01-25+0 y~1502 firstday
mjd:-235512 建保
# g:1219-06-03+0 y~1313 firstday
mjd:-233557 承久
# g:1222-06-01+0 y~1433 firstday
